name,club,Season
Alexis Sanchez,Arsenal,2017-2018
Mesut Ozil,Arsenal,2017-2018
Petr Cech,Arsenal,2017-2018
Theo Walcott,Arsenal,2017-2018
Laurent Koscielny,Arsenal,2017-2018
Hector Bellerin,Arsenal,2017-2018
Olivier Giroud,Arsenal,2017-2018
Nacho Monreal,Arsenal,2017-2018
Shkodran Mustafi,Arsenal,2017-2018
Alex Iwobi,Arsenal,2017-2018
Granit Xhaka,Arsenal,2017-2018
Alex Oxlade-Chamberlain,Arsenal,2017-2018
Jack Wilshere,Arsenal,2017-2018
Aaron Ramsey,Arsenal,2017-2018
Francis Coquelin,Arsenal,2017-2018
Gabriel Paulista,Arsenal,2017-2018
Kieran Gibbs,Arsenal,2017-2018
Santi Cazorla,Arsenal,2017-2018
Danny Welbeck,Arsenal,2017-2018
Rob Holding,Arsenal,2017-2018
Mohamed Elneny,Arsenal,2017-2018
Lucas Perez,Arsenal,2017-2018
Emiliano Martinez,Arsenal,2017-2018
David Ospina,Arsenal,2017-2018
Carl Jenkinson,Arsenal,2017-2018
Per Mertesacker,Arsenal,2017-2018
Sead Kolasinac,Arsenal,2017-2018
Alexandre Lacazette,Arsenal,2017-2018
Joshua King,Bournemouth,2017-2018
Jermain Defoe,Bournemouth,2017-2018
Charlie Daniels,Bournemouth,2017-2018
Artur Boruc,Bournemouth,2017-2018
Steve Cook,Bournemouth,2017-2018
Junior Stanislas,Bournemouth,2017-2018
Adam Smith,Bournemouth,2017-2018
Ryan Fraser,Bournemouth,2017-2018
Simon Francis,Bournemouth,2017-2018
Benik Afobe,Bournemouth,2017-2018
Harry Arter,Bournemouth,2017-2018
Marc Pugh,Bournemouth,2017-2018
Callum Wilson,Bournemouth,2017-2018
Nathan Ake,Bournemouth,2017-2018
Dan Gosling,Bournemouth,2017-2018
Andrew Surman,Bournemouth,2017-2018
Jordon Ibe,Bournemouth,2017-2018
Lewis Cook,Bournemouth,2017-2018
Lys Mousset,Bournemouth,2017-2018
Adam Federici,Bournemouth,2017-2018
Max Gradel,Bournemouth,2017-2018
Tyrone Mings,Bournemouth,2017-2018
Brad Smith,Bournemouth,2017-2018
Asmir Begovic,Bournemouth,2017-2018
Niki Maenpaa,Brighton+and+Hove,2017-2018
Mathew Ryan,Brighton+and+Hove,2017-2018
Lewis Dunk,Brighton+and+Hove,2017-2018
Shane Duffy,Brighton+and+Hove,2017-2018
Uwe Hunemeier,Brighton+and+Hove,2017-2018
Bruno,Brighton+and+Hove,2017-2018
Gaetan Bong,Brighton+and+Hove,2017-2018
Liam Rosenior,Brighton+and+Hove,2017-2018
Connor Goldson,Brighton+and+Hove,2017-2018
Markus Suttner,Brighton+and+Hove,2017-2018
Anthony Knockaert,Brighton+and+Hove,2017-2018
Dale Stephens,Brighton+and+Hove,2017-2018
Beram Kayal,Brighton+and+Hove,2017-2018
Steve Sidwell,Brighton+and+Hove,2017-2018
Solly March,Brighton+and+Hove,2017-2018
Jiri Skalak,Brighton+and+Hove,2017-2018
Oliver Norwood,Brighton+and+Hove,2017-2018
Jamie Murphy,Brighton+and+Hove,2017-2018
Pascal Gross,Brighton+and+Hove,2017-2018
Glenn Murray,Brighton+and+Hove,2017-2018
Tomer Hemed,Brighton+and+Hove,2017-2018
Sam Baldock,Brighton+and+Hove,2017-2018
Tom Heaton,Burnley,2017-2018
Sam Vokes,Burnley,2017-2018
Andre Gray,Burnley,2017-2018
Ben Mee,Burnley,2017-2018
Stephen Ward,Burnley,2017-2018
Matthew Lowton,Burnley,2017-2018
Ashley Barnes,Burnley,2017-2018
Jeff Hendrick,Burnley,2017-2018
Scott Arfield,Burnley,2017-2018
Steven Defour,Burnley,2017-2018
Dean Marney,Burnley,2017-2018
Jack Cork,Burnley,2017-2018
Johann Berg Gudmundsson,Burnley,2017-2018
Robbie Brady,Burnley,2017-2018
James Tarkowski,Burnley,2017-2018
Ashley Westwood,Burnley,2017-2018
Kevin Long,Burnley,2017-2018
Matthew Taylor,Burnley,2017-2018
Eden Hazard,Chelsea,2017-2018
Diego Costa,Chelsea,2017-2018
Gary Cahill,Chelsea,2017-2018
Marcos Alonso Mendoza,Chelsea,2017-2018
Cesar Azpilicueta,Chelsea,2017-2018
Pedro,Chelsea,2017-2018
Thibaut Courtois,Chelsea,2017-2018
David Luiz,Chelsea,2017-2018
Cesc Fabregas,Chelsea,2017-2018
Willian,Chelsea,2017-2018
Victor Moses,Chelsea,2017-2018
Nemanja Matic,Chelsea,2017-2018
N%27Golo Kante,Chelsea,2017-2018
Willy Caballero,Chelsea,2017-2018
Michy Batshuayi,Chelsea,2017-2018
Kurt Zouma,Chelsea,2017-2018
Kenedy,Chelsea,2017-2018
Eduardo Carvalho,Chelsea,2017-2018
Antonio Rudiger,Chelsea,2017-2018
Tiemoue Bakayoko,Chelsea,2017-2018
Wilfried Zaha,Crystal+Palace,2017-2018
Christian Benteke,Crystal+Palace,2017-2018
Andros Townsend,Crystal+Palace,2017-2018
Patrick van Aanholt,Crystal+Palace,2017-2018
James McArthur,Crystal+Palace,2017-2018
Wayne Hennessey,Crystal+Palace,2017-2018
Jason Puncheon,Crystal+Palace,2017-2018
Yohan Cabaye,Crystal+Palace,2017-2018
Joel Ward,Crystal+Palace,2017-2018
James Tomkins,Crystal+Palace,2017-2018
Scott Dann,Crystal+Palace,2017-2018
Damien Delaney,Crystal+Palace,2017-2018
Jeffrey Schlupp,Crystal+Palace,2017-2018
Martin Kelly,Crystal+Palace,2017-2018
Luka Milivojevic,Crystal+Palace,2017-2018
Lee Chung-yong,Crystal+Palace,2017-2018
Connor Wickham,Crystal+Palace,2017-2018
Bakary Sako,Crystal+Palace,2017-2018
Pape Souare,Crystal+Palace,2017-2018
Ruben Loftus-Cheek,Crystal+Palace,2017-2018
Julian Speroni,Crystal+Palace,2017-2018
Ross Barkley,Everton,2017-2018
Leighton Baines,Everton,2017-2018
Seamus Coleman,Everton,2017-2018
Ashley Williams,Everton,2017-2018
Kevin Mirallas,Everton,2017-2018
Michael Keane,Everton,2017-2018
Phil Jagielka,Everton,2017-2018
Jordan Pickford,Everton,2017-2018
Joel Robles,Everton,2017-2018
Idrissa Gueye,Everton,2017-2018
Wayne Rooney,Everton,2017-2018
Ramiro Funes Mori,Everton,2017-2018
Maarten Stekelenburg,Everton,2017-2018
Gareth Barry,Everton,2017-2018
Tom Davies,Everton,2017-2018
Mason Holgate,Everton,2017-2018
Yannick Bolasie,Everton,2017-2018
Morgan Schneiderlin,Everton,2017-2018
Cuco Martina,Everton,2017-2018
James McCarthy,Everton,2017-2018
Aaron Lennon,Everton,2017-2018
Dominic Calvert-Lewin,Everton,2017-2018
Ademola Lookman,Everton,2017-2018
Matthew Pennington,Everton,2017-2018
Jonjoe Kenny,Everton,2017-2018
Muhamed Besic,Everton,2017-2018
Davy Klaassen,Everton,2017-2018
Sandro Ramirez,Everton,2017-2018
Joel Coleman,Huddersfield,2017-2018
Jonas Lossl,Huddersfield,2017-2018
Christopher Schindler,Huddersfield,2017-2018
Chris Lowe,Huddersfield,2017-2018
Tommy Smith,Huddersfield,2017-2018
Michael Hefele,Huddersfield,2017-2018
Martin Cranie,Huddersfield,2017-2018
Jon Gorenc Stankovic,Huddersfield,2017-2018
Mark Hudson,Huddersfield,2017-2018
Mathias Jorgensen,Huddersfield,2017-2018
Scott Malone,Huddersfield,2017-2018
Aaron Mooy,Huddersfield,2017-2018
Rajiv van La Parra,Huddersfield,2017-2018
Jonathan Hogg,Huddersfield,2017-2018
Philip Billing,Huddersfield,2017-2018
Joe Lolley,Huddersfield,2017-2018
